algo,exp_label,req_id,src,dst,sp_hop,chosen_hop,detour,in_path_set,tree_depth,purify_rounds,fidelity,prob,finish_t,outcome
ZFA2,request_cnt=20.000000 Round=0,1,55,14,3,3,0,1,2,0|0|0,0.802889,0.729934,4,accepted
ZFA2,request_cnt=20.000000 Round=0,2,82,1,5,5,0,1,4,2|1|1|2|2,0.801035,0.21918,8,accepted
ZFA2,request_cnt=20.000000 Round=0,0,52,19,4,4,0,1,3,1|1|1|0,0.800488,0.4358,9,accepted
ZFA2,request_cnt=20.000000 Round=0,8,64,8,2,2,0,1,1,0|0,0.838613,0.788029,9,accepted
ZFA2,request_cnt=20.000000 Round=0,9,64,94,2,2,0,1,1,0|0,0.839702,0.791418,6,accepted
ZFA2,request_cnt=20.000000 Round=0,18,8,94,2,2,0,1,1,0|0,0.838021,0.786246,3,accepted
ZFA2,request_cnt=20.000000 Round=0,10,62,10,4,4,0,1,2,1|1|1|2,0.805697,0.304641,6,accepted
ZFA2,request_cnt=20.000000 Round=0,15,81,48,4,4,0,1,3,1|0|1|0,0.802245,0.566758,9,accepted
ZFA2,request_cnt=20.000000 Round=0,7,81,48,4,4,0,1,3,1|0|1|0,0.802255,0.566758,6,accepted
ZFA2,request_cnt=20.000000 Round=0,14,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
ZFA2,request_cnt=20.000000 Round=0,13,34,47,2,2,0,1,1,0|0,0.854461,0.827551,4,accepted
ZFA2,request_cnt=20.000000 Round=0,6,34,47,2,2,0,1,1,0|0,0.854461,0.827551,6,accepted
ZFA2,request_cnt=20.000000 Round=0,5,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
ZFA2,request_cnt=20.000000 Round=0,19,59,64,2,2,0,1,1,0|0,0.88135,0.875651,12,accepted
ZFA2,request_cnt=20.000000 Round=0,12,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
ZFA2,request_cnt=20.000000 Round=0,11,59,64,2,2,0,1,1,0|0,0.88135,0.875651,6,accepted
ZFA2,request_cnt=20.000000 Round=0,4,59,64,2,2,0,1,1,0|0,0.88135,0.875651,8,accepted
ZFA2,request_cnt=20.000000 Round=0,3,59,64,2,2,0,1,1,0|0,0.88135,0.875651,9,accepted
ZFA2,request_cnt=20.000000 Round=0,16,6,56,6,NA,NA,NA,NA,NA,NA,NA,NA,no_shape
ZFA2,request_cnt=20.000000 Round=0,17,0,9,6,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
ZFA_routing,request_cnt=20.000000 Round=0,1,55,14,3,3,0,1,2,0|0|0,0.802884,0.729934,4,accepted
ZFA_routing,request_cnt=20.000000 Round=0,8,64,8,2,2,0,1,1,0|0,0.838613,0.788029,7,accepted
ZFA_routing,request_cnt=20.000000 Round=0,9,64,94,2,2,0,0,1,0|0,0.870404,0.858642,6,accepted
ZFA_routing,request_cnt=20.000000 Round=0,10,62,10,4,4,0,0,3,0|0|0|2,0.803899,0.538919,5,accepted
ZFA_routing,request_cnt=20.000000 Round=0,17,0,9,6,6,0,1,4,2|2|1|1|2|2,0.802142,0.230264,12,accepted
ZFA_routing,request_cnt=20.000000 Round=0,18,8,94,2,2,0,0,1,0|0,0.865794,0.845609,3,accepted
ZFA_routing,request_cnt=20.000000 Round=0,0,52,19,4,4,0,1,2,1|1|1|0,0.80051,0.4358,5,accepted
ZFA_routing,request_cnt=20.000000 Round=0,2,82,1,5,5,0,0,4,2|1|1|1|0,0.800527,0.39834,12,accepted
ZFA_routing,request_cnt=20.000000 Round=0,15,81,48,4,4,0,0,2,0|0|0|0,0.803378,0.707768,12,accepted
ZFA_routing,request_cnt=20.000000 Round=0,7,81,48,4,4,0,0,3,0|0|0|0,0.806268,0.709839,5,accepted
ZFA_routing,request_cnt=20.000000 Round=0,14,34,47,2,2,0,0,1,0|0,0.867128,0.834559,12,accepted
ZFA_routing,request_cnt=20.000000 Round=0,13,34,47,2,2,0,0,1,0|0,0.867128,0.834559,3,accepted
ZFA_routing,request_cnt=20.000000 Round=0,6,34,47,2,2,0,0,1,0|0,0.867128,0.834559,9,accepted
ZFA_routing,request_cnt=20.000000 Round=0,5,34,47,2,2,0,0,1,0|0,0.867128,0.834559,6,accepted
ZFA_routing,request_cnt=20.000000 Round=0,19,59,64,2,2,0,1,1,0|0,0.88135,0.875651,12,accepted
ZFA_routing,request_cnt=20.000000 Round=0,12,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
ZFA_routing,request_cnt=20.000000 Round=0,11,59,64,2,2,0,1,1,0|0,0.88135,0.875651,5,accepted
ZFA_routing,request_cnt=20.000000 Round=0,4,59,64,2,2,0,1,1,0|0,0.88135,0.875651,8,accepted
ZFA_routing,request_cnt=20.000000 Round=0,3,59,64,2,2,0,1,1,0|0,0.88135,0.875651,9,accepted
ZFA_routing,request_cnt=20.000000 Round=0,16,6,56,6,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
SP_skewed,request_cnt=20.000000 Round=0,0,52,19,4,4,0,1,3,1|1|1|1,0.815233,0.394351,6,accepted
SP_skewed,request_cnt=20.000000 Round=0,1,55,14,3,3,0,1,2,0|0|0,0.802884,0.729934,4,accepted
SP_skewed,request_cnt=20.000000 Round=0,2,82,1,5,5,0,1,4,2|2|2|2|2,0.812272,0.178237,8,accepted
SP_skewed,request_cnt=20.000000 Round=0,3,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,4,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,5,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,6,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,7,81,48,4,4,0,1,3,1|1|1|1,0.834172,0.452937,6,accepted
SP_skewed,request_cnt=20.000000 Round=0,8,64,8,2,2,0,1,1,0|0,0.838613,0.788029,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,9,64,94,2,2,0,1,1,0|0,0.839702,0.791418,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,10,62,10,4,4,0,1,3,2|2|2|2,0.826391,0.200637,7,accepted
SP_skewed,request_cnt=20.000000 Round=0,11,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,12,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,13,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,14,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,15,81,48,4,4,0,1,3,1|1|1|1,0.834172,0.452937,8,accepted
SP_skewed,request_cnt=20.000000 Round=0,16,6,56,6,6,0,1,5,5|5|5|5|5|5,0.801386,0.0232481,12,accepted
SP_skewed,request_cnt=20.000000 Round=0,17,0,9,6,6,0,1,5,2|2|2|2|2|2,0.811432,0.200221,11,accepted
SP_skewed,request_cnt=20.000000 Round=0,18,8,94,2,2,0,1,1,0|0,0.838021,0.786246,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,19,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,0,52,19,4,4,0,1,2,1|1|1|1,0.815256,0.394351,5,accepted
SP_balanced,request_cnt=20.000000 Round=0,1,55,14,3,3,0,1,2,0|0|0,0.802889,0.729934,4,accepted
SP_balanced,request_cnt=20.000000 Round=0,2,82,1,5,5,0,1,3,2|2|2|2|2,0.812312,0.178237,7,accepted
SP_balanced,request_cnt=20.000000 Round=0,3,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,4,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,5,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,6,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,7,81,48,4,4,0,1,2,1|1|1|1,0.834187,0.452937,5,accepted
SP_balanced,request_cnt=20.000000 Round=0,8,64,8,2,2,0,1,1,0|0,0.838613,0.788029,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,9,64,94,2,2,0,1,1,0|0,0.839702,0.791418,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,10,62,10,4,4,0,1,2,2|2|2|2,0.826412,0.200637,7,accepted
SP_balanced,request_cnt=20.000000 Round=0,11,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,12,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,13,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,14,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,15,81,48,4,4,0,1,2,1|1|1|1,0.834187,0.452937,7,accepted
SP_balanced,request_cnt=20.000000 Round=0,16,6,56,6,6,0,1,3,5|5|5|5|5|5,0.801446,0.0232481,12,accepted
SP_balanced,request_cnt=20.000000 Round=0,17,0,9,6,6,0,1,3,2|2|2|2|2|2,0.811487,0.200221,10,accepted
SP_balanced,request_cnt=20.000000 Round=0,18,8,94,2,2,0,1,1,0|0,0.838021,0.786246,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,19,59,64,2,2,0,1,1,0|0,0.88135,0.875651,6,accepted
